Number of model parameters: 65960814
Epoch: [0][740/6000]	Time 1.041 (1.050)	Loss 3.5426 (2.4999)
Epoch: [0][750/6000]	Time 1.042 (1.050)	Loss 2.4064 (2.5023)
Epoch: [0][760/6000]	Time 1.035 (1.050)	Loss 3.7572 (2.5044)
Epoch: [0][770/6000]	Time 1.042 (1.050)	Loss 2.0634 (2.5013)
Epoch: [0][780/6000]	Time 1.035 (1.050)	Loss 2.4271 (2.4967)
Epoch: [0][790/6000]	Time 1.039 (1.050)	Loss 3.7245 (2.4989)
Epoch: [0][800/6000]	Time 1.037 (1.050)	Loss 2.9449 (2.5007)
Epoch: [0][810/6000]	Time 1.038 (1.049)	Loss 2.0567 (2.4930)
Epoch: [0][820/6000]	Time 1.038 (1.049)	Loss 2.1047 (2.4950)
Epoch: [0][830/6000]	Time 1.038 (1.049)	Loss 1.7712 (2.4927)
Epoch: [0][840/6000]	Time 1.037 (1.049)	Loss 2.8998 (2.4937)
Epoch: [0][850/6000]	Time 1.037 (1.049)	Loss 3.8513 (2.4929)
Epoch: [0][860/6000]	Time 1.036 (1.049)	Loss 3.1459 (2.4923)
Epoch: [0][870/6000]	Time 1.037 (1.049)	Loss 1.7550 (2.4920)
Epoch: [0][880/6000]	Time 1.039 (1.049)	Loss 2.5865 (2.4912)
Epoch: [0][890/6000]	Time 1.041 (1.048)	Loss 2.8737 (2.4895)
Epoch: [0][900/6000]	Time 1.040 (1.048)	Loss 3.7366 (2.4931)
Epoch: [0][910/6000]	Time 1.039 (1.048)	Loss 3.5043 (2.4959)
Epoch: [0][920/6000]	Time 1.042 (1.048)	Loss 2.7322 (2.4936)
Epoch: [0][930/6000]	Time 1.040 (1.048)	Loss 1.6447 (2.4883)
Epoch: [0][940/6000]	Time 1.038 (1.048)	Loss 2.8248 (2.4887)
Epoch: [0][950/6000]	Time 1.043 (1.048)	Loss 2.2077 (2.4843)
Epoch: [0][960/6000]	Time 1.036 (1.048)	Loss 2.3284 (2.4792)
Epoch: [0][970/6000]	Time 1.034 (1.048)	Loss 2.5102 (2.4761)
Epoch: [0][980/6000]	Time 1.036 (1.047)	Loss 2.0117 (2.4740)
Epoch: [0][990/6000]	Time 1.036 (1.047)	Loss 2.9370 (2.4770)
Epoch: [0][1000/6000]	Time 1.033 (1.047)	Loss 1.5015 (2.4776)
Epoch: [0][1010/6000]	Time 1.037 (1.047)	Loss 2.0026 (2.4764)
Epoch: [0][1020/6000]	Time 1.038 (1.047)	Loss 3.1939 (2.4779)
Epoch: [0][1030/6000]	Time 1.035 (1.047)	Loss 2.0818 (2.4771)
Epoch: [0][1040/6000]	Time 1.038 (1.047)	Loss 3.3856 (2.4762)
Epoch: [0][1050/6000]	Time 1.041 (1.047)	Loss 2.7452 (2.4789)
Epoch: [0][1060/6000]	Time 1.046 (1.047)	Loss 1.4198 (2.4761)
Epoch: [0][1070/6000]	Time 1.036 (1.047)	Loss 2.5340 (2.4762)
Epoch: [0][1080/6000]	Time 1.038 (1.047)	Loss 2.3359 (2.4768)
Epoch: [0][1090/6000]	Time 1.038 (1.046)	Loss 1.8092 (2.4746)
Epoch: [0][1100/6000]	Time 1.037 (1.046)	Loss 1.9940 (2.4731)
Epoch: [0][1110/6000]	Time 1.039 (1.046)	Loss 2.3096 (2.4722)
Epoch: [0][1120/6000]	Time 1.038 (1.046)	Loss 1.5048 (2.4697)
Epoch: [0][1130/6000]	Time 1.035 (1.046)	Loss 3.0540 (2.4729)
Epoch: [0][1140/6000]	Time 1.038 (1.046)	Loss 2.2821 (2.4724)
Epoch: [0][1150/6000]	Time 1.035 (1.046)	Loss 2.1415 (2.4706)
Epoch: [0][1160/6000]	Time 1.035 (1.046)	Loss 3.4350 (2.4688)
Epoch: [0][1170/6000]	Time 1.031 (1.046)	Loss 2.6031 (2.4725)
Epoch: [0][1180/6000]	Time 1.038 (1.046)	Loss 2.0948 (2.4717)
Epoch: [0][1190/6000]	Time 1.041 (1.046)	Loss 3.3321 (2.4735)
Epoch: [0][1200/6000]	Time 1.037 (1.046)	Loss 2.6409 (2.4722)
Epoch: [0][1210/6000]	Time 1.034 (1.046)	Loss 2.1702 (2.4691)
Epoch: [0][1220/6000]	Time 1.041 (1.046)	Loss 2.8254 (2.4673)
Epoch: [0][1230/6000]	Time 1.043 (1.046)	Loss 1.3198 (2.4654)
Epoch: [0][1240/6000]	Time 1.039 (1.045)	Loss 3.3650 (2.4662)
Epoch: [0][1250/6000]	Time 1.032 (1.045)	Loss 2.9582 (2.4675)
Epoch: [0][1260/6000]	Time 1.037 (1.045)	Loss 2.5045 (2.4655)
Epoch: [0][1270/6000]	Time 1.031 (1.045)	Loss 2.2126 (2.4642)
Epoch: [0][1280/6000]	Time 1.036 (1.045)	Loss 2.8546 (2.4641)
Epoch: [0][1290/6000]	Time 1.031 (1.045)	Loss 1.8186 (2.4614)
Epoch: [0][1300/6000]	Time 1.036 (1.045)	Loss 2.7230 (2.4602)
Epoch: [0][1310/6000]	Time 1.038 (1.045)	Loss 1.8604 (2.4583)
Epoch: [0][1320/6000]	Time 1.042 (1.045)	Loss 1.5330 (2.4561)
